,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
36,3.097803368046327,-4.0993485878312725,-10.635792674175068,15.751440352545345,-6.1985071770926385,-25.71534726770759,29.368692644398344,-22.38879308403033,-6.0720038344129605,-3.2331716013642757
37,3.097803368046327,-4.0993485878312725,-10.635792674175068,15.751440352545345,-6.1985071770926385,-25.71534726770759,29.368692644398344,-22.38879308403033,-6.0720038344129605,-3.2331716013642757
38,4.956582529411129,-4.707371062075679,-9.40834882866961,14.584347733028022,-6.093393596450687,-27.011795310346553,27.808264189568977,-22.715179137926103,-3.5805011267494176,-4.052868903749757
39,4.956582529411129,-4.707371062075679,-9.40834882866961,14.584347733028022,-6.093393596450687,-27.011795310346553,27.808264189568977,-22.715179137926103,-3.5805011267494176,-4.052868903749757
40,4.956582529411129,-4.707371062075679,-9.40834882866961,14.584347733028022,-6.093393596450687,-27.011795310346553,27.808264189568977,-22.715179137926103,-3.5805011267494176,-4.052868903749757
41,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
42,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
43,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
44,4.956582524502917,-4.707616016780958,-9.40809468493186,14.58131660474122,-6.090724542585279,-27.066256348563122,27.850415778842176,-23.041403530137885,-3.0857144035058073,-4.183724471584522
45,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
46,4.956582524502917,-4.707616016780958,-9.40809468493186,14.58131660474122,-6.090724542585279,-27.066256348563122,27.850415778842176,-23.041403530137885,-3.0857144035058073,-4.183724471584522
47,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
48,4.956582524502917,-4.707616016780958,-9.40809468493186,14.58131660474122,-6.090724542585279,-27.066256348563122,27.850415778842176,-23.041403530137885,-3.0857144035058073,-4.183724471584522
49,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
50,4.956582526957023,-4.707493539428319,-9.408221756800735,14.58283216888462,-6.092059069517982,-27.039025829454836,27.829339984205568,-22.878291334032,-3.3331077651276124,-4.11829668766714
51,4.956394817243854,-3.0268186659762293,-11.03920837636874,14.755216675918845,-6.315880787206007,-31.979221773566703,28.892078476621975,-20.574507748030047,-4.150042271695416,-1.9523477770782593
52,4.956394817243854,-3.0268186659762293,-11.03920837636874,14.755216675918845,-6.315880787206007,-31.979221773566703,28.892078476621975,-20.574507748030047,-4.150042271695416,-1.9523477770782593
53,3.0978034450460483,-4.121838038727914,-10.692807222885667,15.657274934837577,-6.343022812974562,-25.599758656983276,29.305569525369783,-22.184106140969224,-6.284665015386602,-3.0182145613787723
54,4.956582603956744,-4.7299829903249595,-9.465236305511334,14.488666751176854,-6.23657470539991,-26.923437218730527,27.766216865177007,-22.673604390970883,-3.5457689461012607,-3.9033396476816304
55,3.0978034450460483,-4.121838038727914,-10.692807222885667,15.657274934837577,-6.343022812974562,-25.599758656983276,29.305569525369783,-22.184106140969224,-6.284665015386602,-3.0182145613787723
56,3.0978034450460483,-4.121838038727914,-10.692807222885667,15.657274934837577,-6.343022812974562,-25.599758656983276,29.305569525369783,-22.184106140969224,-6.284665015386602,-3.0182145613787723
57,4.956582601502638,-4.730105467677599,-9.465109233642462,14.487151187033453,-6.2352401784672065,-26.950667737838813,27.787292659813616,-22.836716587076772,-3.298375584479455,-3.9687674315990127
58,3.0978034450460483,-4.121838038727914,-10.692807222885667,15.657274934837577,-6.343022812974562,-25.599758656983276,29.305569525369783,-22.184106140969224,-6.284665015386602,-3.0182145613787723
59,3.0978034450460483,-4.121838038727914,-10.692807222885667,15.657274934837577,-6.343022812974562,-25.599758656983276,29.305569525369783,-22.184106140969224,-6.284665015386602,-3.0182145613787723
60,4.956582601502638,-4.730105467677599,-9.465109233642462,14.487151187033453,-6.2352401784672065,-26.950667737838813,27.787292659813616,-22.836716587076772,-3.298375584479455,-3.9687674315990127
61,3.0978034450460483,-4.121838038727914,-10.692807222885667,15.657274934837577,-6.343022812974562,-25.599758656983276,29.305569525369783,-22.184106140969224,-6.284665015386602,-3.0182145613787723
62,3.0978034450460483,-4.121838038727914,-10.692807222885667,15.657274934837577,-6.343022812974562,-25.599758656983276,29.305569525369783,-22.184106140969224,-6.284665015386602,-3.0182145613787723
63,3.0978034401378363,-4.1220829934331915,-10.692553079147919,15.65424380655078,-6.340353759109163,-25.654219695199846,29.347721114642983,-22.510330533181005,-5.7898782921429905,-3.1490701292135372
