,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
22,8000.523198321264,-68.38525360309765,-96.43698837216839,91.36301057550365,-17.76279907849634,-26.136519868425342,24.129368261928718,-9.643903797514408,-0.8682065433285999,-0.6229024920455262
23,8000.523198321264,-68.38525360309765,-96.43698837216839,91.36301057550365,-17.76279907849634,-26.136519868425342,24.129368261928718,-9.643903797514408,-0.8682065433285999,-0.6229024920455262
24,8000.523198321264,-68.38525360309765,-96.43698837216839,91.36301057550365,-17.76279907849634,-26.136519868425342,24.129368261928718,-9.643903797514408,-0.8682065433285999,-0.6229024920455262
25,8000.523194360041,-68.38704140597422,-96.4356779251269,91.35357729698018,-17.75881430457299,-26.16275575633005,24.14761441539673,-9.712535888203252,-0.8044301944538514,-0.6324518809354303
26,8000.523190398817,-68.3888292088508,-96.43436747808542,91.3441440184567,-17.75482953064967,-26.18899164423476,24.16586056886476,-9.7811679788921,-0.740653845579103,-0.6420012698253352
27,8000.523194360041,-68.38704140597422,-96.4356779251269,91.35357729698018,-17.75881430457299,-26.16275575633005,24.14761441539673,-9.712535888203252,-0.8044301944538514,-0.6324518809354303
28,8000.523190398817,-68.3888292088508,-96.43436747808542,91.3441440184567,-17.75482953064967,-26.18899164423476,24.16586056886476,-9.7811679788921,-0.740653845579103,-0.6420012698253352
29,8000.523190398817,-68.3888292088508,-96.43436747808542,91.3441440184567,-17.75482953064967,-26.18899164423476,24.16586056886476,-9.7811679788921,-0.740653845579103,-0.6420012698253352
30,8000.523190398817,-68.3888292088508,-96.43436747808542,91.3441440184567,-17.75482953064967,-26.18899164423476,24.16586056886476,-9.7811679788921,-0.740653845579103,-0.6420012698253352
34,5000.229078774791,-59.83822347130566,-109.68315148848582,98.04119781960871,-18.508168818240033,-24.77605974617566,25.42564502949901,-9.420446257491587,-1.565321851700806,-0.4718914675180008
35,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
36,5000.229078774791,-59.83822347130566,-109.68315148848582,98.04119781960871,-18.508168818240033,-24.77605974617566,25.42564502949901,-9.420446257491587,-1.565321851700806,-0.4718914675180008
37,5000.229078774791,-59.83822347130566,-109.68315148848582,98.04119781960871,-18.508168818240033,-24.77605974617566,25.42564502949901,-9.420446257491587,-1.565321851700806,-0.4718914675180008
38,8000.523322608122,-68.71353229413039,-97.02495915862951,90.77689970953695,-18.19430939369978,-26.025153286614515,24.0747200677783,-9.557778460633571,-0.923029169048948,-0.5915288424040146
39,8000.523322608122,-68.71353229413039,-97.02495915862951,90.77689970953695,-18.19430939369978,-26.025153286614515,24.0747200677783,-9.557778460633571,-0.923029169048948,-0.5915288424040146
40,8000.523322608122,-68.71353229413039,-97.02495915862951,90.77689970953695,-18.19430939369978,-26.025153286614515,24.0747200677783,-9.557778460633571,-0.923029169048948,-0.5915288424040146
41,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
42,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
43,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
44,8000.523314685674,-68.71710789988353,-97.02233826454656,90.75803315249,-18.18633984585308,-26.077625062423934,24.11121237471434,-9.695042642011263,-0.7954764712994511,-0.6106276201838245
45,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
46,8000.523314685674,-68.71710789988353,-97.02233826454656,90.75803315249,-18.18633984585308,-26.077625062423934,24.11121237471434,-9.695042642011263,-0.7954764712994511,-0.6106276201838245
47,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
48,8000.523314685674,-68.71710789988353,-97.02233826454656,90.75803315249,-18.18633984585308,-26.077625062423934,24.11121237471434,-9.695042642011263,-0.7954764712994511,-0.6106276201838245
49,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
50,8000.523318646898,-68.71532009700697,-97.02364871158804,90.76746643101347,-18.19032461977643,-26.051389174519223,24.092966221246314,-9.626410551322419,-0.8592528201741996,-0.6010782312939196
51,8000.22033248069,-44.18249579444149,-113.8434343119731,91.84043392966176,-18.858635556233462,-30.811137841138788,25.013021192522615,-8.657056402603125,-1.0698530551891416,-0.2849512402132366
52,8000.22033248069,-44.18249579444149,-113.8434343119731,91.84043392966176,-18.858635556233462,-30.811137841138788,25.013021192522615,-8.657056402603125,-1.0698530551891416,-0.2849512402132366
53,5000.229203061648,-60.1665021623384,-110.27112227494696,97.45508695364201,-18.93967913344346,-24.664693164364834,25.370996835348592,-9.334320920610754,-1.6201444774211542,-0.44051781787649014
54,8000.523442933755,-69.0435987880397,-97.61161949804918,90.18135556504677,-18.62183493497987,-25.9400225927084,24.038318027095897,-9.540285214441582,-0.9140754458945495,-0.569704581652408
55,5000.229203061648,-60.1665021623384,-110.27112227494696,97.45508695364201,-18.93967913344346,-24.664693164364834,25.370996835348592,-9.334320920610754,-1.6201444774211542,-0.44051781787649014
56,5000.229203061648,-60.1665021623384,-110.27112227494696,97.45508695364201,-18.93967913344346,-24.664693164364834,25.370996835348592,-9.334320920610754,-1.6201444774211542,-0.44051781787649014
57,8000.523438972532,-69.04538659091628,-97.6103090510077,90.1719222865233,-18.61785016105652,-25.966258480613106,24.056564180563925,-9.608917305130426,-0.850299097019801,-0.579253970542313
