,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
ms,0.14677161946597056,-0.6640681494067912,0.9802825027581744,-0.6531442468945646,0.11027515860490278,0.8103228055361518,0.056647746606847904,0.3607137900557405,0.05198372633928199,0.15714780087482974,-1.1843478004222152,-0.14112340714681007,-3.2376082135816477,0.2785520540669129,0.5157210119362063,0.20606168711252656,-1.387333233814801,-0.022172189293969444,-0.3492250933261985,2.1539110447396146,0.631929052934377
sb,1.114395719981693,-1.1288647929315736,0.30499047393526535,-1.3174274860668496,-0.45562589038591955,1.1550636330270627,-2.567665927861685,-1.1413239779443545,0.4935060164940407,-2.0204817853123145,-0.0965000198031184,0.8665315676380337,-0.02134559645646645,0.45861342092195256,-0.08219314878629207,-0.13561631813421055,0.713761026329318,1.76663320107644,1.4918239185535145,0.05445103418121762,1.0298531664236579
bc,-0.2392704199180204,0.11618500726848584,-0.34342646443715585,0.8991299984614499,-1.4016050302409366,0.28837665905471205,-0.48032232651355544,-1.3876706035583584,0.8769268869006959,-0.46679688830564153,0.44275692688431434,-1.333605318871958,-0.5505059748950991,0.7423677562134605,1.8167822964830342,0.5741489046667624,1.587394257293441,0.23395202336507154,-0.2985950323641707,-0.4023611126251657,-0.49589582259014975
bt,-1.1567052512758478,-0.34965848076488837,-0.010949482909800426,0.08238189701782236,-0.4585078108989362,-0.18892154499955877,-0.36709891710273246,1.9373471347483358,0.7920163012275115,-0.6672829080570868,-0.6670260429175466,-1.3476010423471063,0.06947638175084372,-0.11366757954022526,1.7257984896903469,-0.08816137945864774,-1.3242595197142046,-0.18326119970660604,-0.663756555906134,-1.076252845720271,-0.38957413964458015
is,0.39169989697273827,0.44189155239366973,-0.33727406917255015,2.316360364280482,0.30718733600910175,-0.6409553067286488,-1.2459496479766519,1.4863007773119759,0.7278200308883678,1.0112724841561922,-2.3709953691807035,0.038760111955882234,0.17130844211926025,0.10952226948050434,0.18505351746801615,0.07352804239799172,0.8544963210439759,0.8966122853715862,1.8992046213648734,-0.6170532650416279,0.8928884420980795
nt,-0.5364300563990361,-0.1892637201216151,0.022829198856895976,0.5752072703246986,-1.408199058098652,0.6311661314165359,1.0463253259967016,-0.31470373342962044,1.3907357674011167,-0.23366607408428153,-0.0012197059788565997,-0.7752065221997163,0.2970272139302156,-0.12010909161225729,-0.20220297571817686,0.9359534801145287,1.510525197101358,-0.2782981810837912,-0.08271761480173577,0.8851183097944126,-1.7367527034414196
sv,-0.6627811016233378,0.5707101519387784,-0.11442937562136689,0.34355144526676007,-0.04034294344875895,0.1599169201750662,0.9672989496426198,0.5092893347603397,1.201840084593353,-0.44235721003759454,-0.13629355646029304,0.2501060743930172,1.3891244248967896,-0.5230511803372949,-0.7631105602596848,1.2843028673309653,-1.6103216706670447,-0.33638177158565225,0.6501501928130626,0.506352506491116,-0.4103559951845526
vs,-1.1140761386368447,-0.04369361994854499,0.8257085859386281,1.4455475802329412,-0.6974151098063053,-0.04118366278619238,-0.509642354461917,-0.9696942409470658,-1.6685845188497304,0.2018563325302273,-0.2774642953452536,-2.132856668418935,-1.4064018519074237,-1.2556008224214539,-1.3601580968278926,2.1037139982198525,-0.739189237468638,0.9120724808465019,-0.1744986085077189,-0.5113663480360219,1.0696393856376265
br,-0.47570196434341167,0.02700690835975623,0.043886656662639675,0.18404539654148389,-0.8368864149105691,0.48036953534366117,-0.6281832078692235,1.5869549153014626,0.2220064813849559,0.9718660522491441,2.1396109386382887,-0.15781101876702194,1.4523925401634543,-0.029923769738850962,-1.9712056748290798,-1.9107278475429683,-0.896888778260288,0.6997777687968123,-0.529359230741695,1.7681298284460336,0.6112962359640016
bz,-0.5526549847369926,0.5145123487293572,-0.18901710844068983,0.12783573066324272,0.0965584504135931,0.19427284736697115,-0.1868843028285708,-0.2084110953731845,0.5299063144416803,0.23564513291335662,-0.12267524756980168,-0.5123618887926255,-0.428405220104843,1.2811223651606154,-1.9212424025002006,-0.838012920045936,0.3946387280683835,0.4039182060968654,-0.974025792405587,-0.26430234084934523,1.450299971563595
ct,0.9534130860542456,-1.8084550999830373,-4.3318132469684425,1.1160325477734654,1.3232980873966813,1.2947053796801486,1.4409963549841964,0.3024677955104139,-1.3543066884957826,0.4641734410394972,0.6254168163459857,-0.6731010748338708,-0.4585773293395663,0.5128003975243658,-0.5114391870684897,0.29719192057348004,-0.13955182119146922,-0.012826304903521385,-0.4440323775252641,0.10807290568534943,0.749551348551844
