,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bc,-0.749230653514406,0.17743139237596905,-0.4630246796352375,1.1628052397513433,-1.4645148247008144,0.2837074310306555,-0.43154183015006986,-1.128370738731864,0.6359166854579976,-0.2930678250945018,0.2598133593998887,-0.6763451161841381,-0.254085229795593,0.3129538475420334,0.6700041827958454,0.19668209755415536,0.45367990813207226,0.05145591969731469,-0.05416819073767484,-0.05051104203839168,-0.0546636447861319
bt,-3.622006563259592,-0.5339793193351897,-0.014762638705758788,0.10654088026970282,-0.4790875259538559,-0.18586263664285765,-0.3298171452543361,1.5753348179390942,0.5743425006449103,-0.41893841944160487,-0.39141629750922763,-0.6834431226827078,0.03206672266525954,-0.04791790330354142,0.6364506132593102,-0.030200815318560458,-0.378475564269288,-0.040306869075553066,-0.12041222333483098,-0.1351091122584672,-0.04294358092424326
is,1.2265351057224751,0.6748326248257169,-0.45472971363413983,2.9956468734739445,0.32097516621237093,-0.6305773292246601,-1.11941369718425,1.2085708969929387,0.5277896122996625,0.634904462592553,-1.3913193325360975,0.019657399421806252,0.07906716160545124,0.04617039915672697,0.06824517774345931,0.025187977352811395,0.2442164639624002,0.19720286703275478,0.3445351296216355,-0.07746276275828924,0.09842498042745486
nt,-1.6797305820682853,-0.2890332081301381,0.03077946396579376,0.7438902372528327,-1.4714048196307372,0.6209466545757062,0.94006278948235,-0.25589825370738467,1.0085129020040553,-0.1467019379216875,-0.0007157333710775865,-0.39315016062425323,0.13709247737299257,-0.05063339838001566,-0.07456966074977954,0.3206229119062425,0.43171060340143513,-0.06120951061581738,-0.015005820761549908,0.11111473438196146,-0.1914459217793012
sv,-2.0753752932618657,0.8715573487687399,-0.15427938867430882,0.44429995814166273,-0.042153700563287586,0.157327637922994,0.8690621609471153,0.41412362661440244,0.8715323642844482,-0.27772392813318325,-0.07997816548618214,0.12684264193456254,0.6411483522623507,-0.220498368871628,-0.28142461994451984,0.4399544783388201,-0.46023260085176104,-0.07398454254589679,0.11794389000243763,0.06356576701646707,-0.04523440879066926
vs,-3.488521454936539,-0.06672650807260899,1.113261478269856,1.8694630403623524,-0.7287179663632525,-0.04051684074502953,-0.45788417949020627,-0.7884973596729069,-1.209999091695778,0.12673091410466306,-0.16281830121657018,-1.0816897404294321,-0.6491227234998473,-0.529313275078111,-0.5016074935904323,0.7206543084220781,-0.21126150847917263,0.20060321623862884,-0.031655831090909914,-0.06419518758694975,0.11790861056330462
br,-1.489571898378477,0.04124347423732959,0.05917017832269854,0.2380178081220219,-0.8744493168782066,0.4725916697435742,-0.5643862802737653,1.2904168219180463,0.1609913299516621,0.6101640292626472,1.2555410701041636,-0.08003470765503631,0.6703496585866423,-0.012614716620373438,-0.7269533888804733,-0.6545444184518757,-0.25633229845469674,0.15391065295890355,-0.09603117490780363,0.22196498938795797,0.06738447629443572
bz,-1.7305359163258027,0.7857351355043707,-0.2548422883622724,0.1653243220635724,0.10089239053068816,0.19112729381831509,-0.1679047373340979,-0.16946743776450354,0.38426951222123534,0.14794444506194793,-0.07198683126340122,-0.2598470899147966,-0.1977298045070495,0.5400721811978596,-0.7085276250939593,-0.287072112395269,0.11278840217092037,0.08883865366178623,-0.17669823402183193,-0.03317961460635352,0.15986963161900267
ct,2.9854350979880997,-2.761773777729475,-5.840366566404419,1.4433157569034962,1.382693144414252,1.2737422592198606,1.2946518825872448,0.2459487208185505,-0.9820958090196648,0.2914207533084628,0.36699966553541996,-0.34136683336510587,-0.21165569751808036,0.21617703097033386,-0.1886116984103906,0.1018069177515298,-0.03988414165347802,-0.0028210455529977894,-0.0805520116294402,0.013567104054037249,0.082624629609086
gl,-0.536229849418699,0.6921714101162767,1.0182450112361838,2.4112186567413363,-1.286130741908184,-0.14324593675792394,0.6703341417663438,-0.15528986268140285,-0.692291432879852,0.2977822749050272,0.023426317288747844,0.9638079979545477,0.18185389027691323,-0.2347968319286767,0.25223733852596697,-0.3205000117239503,-0.3406229977210145,0.08100587589640043,-0.1299685302183367,0.01685658128689356,0.22800381171870746
